username,first_name,last_name,password
ablack,Alex,Black,1234
admin1,Riley,Fuiss,opensesame
admin2,Tonnis,Kinser,opensesayou
apink,Alice,Pink,1234
jbrian,James,O'Brian,1234
jgreen,John,Green,1234
jsmith,John,Smith,1234
mred,Michael,Red,12345
o'brian,Jack,Brian,1234
pbrown,Peter,Brown,1234
Pink,apink,Alice,1234
porange,Peter,Orange,1234
tblue,Tom,Blue,1234
trichards,Tom,Richards,1234
user1,Danite,Kelor,pass1
user2,Dodra,Kiney,pass2
user3,Peran,Bishop,pass3
user4,Randy,Roran,pass4
user5,Ashod,Iankel,pass5
user6,Cany,Achant,pass6
